Rank,Name,All Sectors,Industrial,Domestic,Agricultural
117,Uruguay,0.61,0.75,0.75,0.57
118,Mozambique,0.60,0.49,0.50,0.74
119,Slovenia,0.58,0.58,0.57,0.59
120,Kenya,0.57,0.46,0.48,0.67
121,Norway,0.54,0.57,0.56,0.21
122,Bolivia,0.54,0.51,0.51,0.57
123,Denmark,0.54,0.83,0.81,0.23
124,Liechtenstein,0.53,0.53,0.53,0.53
125,Croatia,0.51,0.51,0.53,0.23
126,Austria,0.51,0.48,0.50,1.77
127,Gambia,0.47,0.69,0.55,0.02
128,Bosnia and Herzegovina,0.46,0.48,0.47,0.01
129,Ghana,0.45,0.50,0.44,0.43
130,Cambodia,0.42,0.57,0.44,0.42
131,Chad,0.42,0.14,0.20,0.88
132,Nicaragua,0.39,0.26,0.26,0.53
133,Belize,0.38,0.26,0.24,0.97
134,Mali,0.35,0.13,0.24,0.37
135,Colombia,0.32,0.17,0.17,0.49
136,Bangladesh,0.28,0.26,0.27,0.28
137,Suriname,0.24,0.00,0.01,0.35
138,Djibouti,0.23,0.23,0.22,0.38
139,Niger,0.21,0.28,0.35,0.15
140,Myanmar,0.17,0.21,0.20,0.16
141,Ivory Coast,0.14,0.17,0.15,0.01
142,Papua New Guinea,0.12,0.13,0.12,0.00
143,Togo,0.12,0.24,0.12,0.08
144,Zambia,0.08,0.12,0.11,0.06
145,Burkina Faso,0.08,0.11,0.09,0.05
146,Laos,0.06,0.07,0.08,0.06
147,Liberia,0.01,0.02,0.01,0.00
148,Guinea,0.01,0.01,0.00,0.02
149,Sierra Leone,0.01,0.01,0.01,0.00
150,Cameroon,0.01,0.01,0.01,0.01
151,Benin,0.00,0.00,0.01,0.00
152,Uganda,0.00,0.00,0.00,0.00
153,Paraguay,0.00,0.00,0.00,0.00
154,Panama,0.00,0.00,0.00,0.00
155,Malawi,0.00,0.00,0.00,0.00
156,Democratic Republic of the Congo,0.00,0.00,0.00,0.00
157,Guinea Bissau,0.00,0.00,0.00,0.00
158,Bhutan,0.00,0.00,0.00,0.00
158,Brunei,0.00,0.00,0.00,0.00
158,Burundi,0.00,0.00,0.00,0.00
158,Central African Republic,0.00,0.00,0.00,0.00
158,Equatorial Guinea,0.00,0.00,0.00,0.00
158,Gabon,0.00,0.00,0.00,0.00
158,Iceland,0.00,0.00,0.00,No data
158,Republic of the Congo,0.00,0.00,0.00,0.00
158,Rwanda,0.00,0.00,0.00,0.00
158,South Sudan,0.00,0.00,0.00,0.00
